order_id,order_date,delivery_date,city,category,quantity,unit_price,shipping_cost,status
ORD-001,2026-08-01,2026-08-03,Milano,Electronics,1,899.99,12.50,Delivered
ORD-002,2026-08-01,2026-08-06,Roma,Books,3,18.50,5.00,delivered
ORD-003,2026-08-02,2026-08-09,Napoli,Clothing,2,45.00,7.50,Delayed
ORD-004,2026-08-03,,Torino,Electronics,1,249.90,10.00,In Transit
ORD-005,2026-08-03,2026-08-05,milano,Books,5,12.00,4.50,Delivered
ORD-006,2026-08-04,,Bologna,Clothing,0,35.00,6.00,Cancelled
ORD-007,2026-08-04,2026-08-08,,Home,2,79.99,8.50,Delivered
ORD-008,2026/08/05,2026/08/10,Firenze,Electronics,1,,11.00,Delivered
ORD-009,2026-08-05,2026-08-13,Roma,Home,2,55.50,7.00, delayed
ORD-003,2026-08-02,2026-08-09,Napoli,Clothing,2,45.00,7.50,Delayed
ORD-010,2026-08-06,2026-08-07,Milano,Books,4,15.00,-3.00,Delivered
ORD-011,2026-08-07,,Palermo,Clothing,1,65.00,9.00,Cancelled
